Highest Charting Position,Number of Times Charted,Song Name,Streams_x,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord,artist_pop,track_pop,mode,key,instrumentalness,time_signature,Explicit,Track_Number_on_Album,Artist_Genres
12,14,Snowman,5454807,Sia,20528724,"['australian dance', 'australian pop', 'dance pop', 'pop']",77,0.716,0.512,-6.257,0.0331,0.483,0.0928,104.957,165907,0.326,C#/Db,82,74,1,1,0.0,3,0,3,"['australian dance', 'australian pop', 'pop']"
6,60,Say So,5103528,Doja Cat,8671649,"['dance pop', 'pop']",82,0.787,0.673,-4.583,0.159,0.264,0.0904,110.962,237893,0.779,B,88,80,0,11,3.35e-06,4,1,5,"['dance pop', 'pop', 'pop rap']"
149,46,The Less I Know The Better,5084635,Tame Impala,5064200,"['australian psych', 'neo-psychedelic']",84,0.64,0.74,-4.083,0.0284,0.0115,0.167,116.879,216320,0.785,E,78,84,1,4,0.00678,4,1,7,"['australian psych', 'neo-psychedelic']"
123,26,Someone To You,5054881,BANNERS,419151,"['indie cafe pop', 'indie poptimism', 'modern rock', 'pop', 'pop rock']",79,0.52,0.903,-5.497,0.042,0.00517,0.254,74.988,219801,0.652,D,65,0,1,2,0.0,4,0,3,"['alt z', 'indie cafe pop', 'indie poptimism', 'modern rock', 'pop', 'pop rock']"
198,1,To the Bone,5052557,Pamungkas,1643882,['indonesian pop'],81,0.668,0.727,-6.55,0.027,0.514,0.1,139.991,344571,0.939,G,67,78,0,7,1.9e-05,4,0,7,['indonesian pop']
61,26,Electric Love,5060903,BØRNS,1027085,"['modern alternative rock', 'modern rock', 'pop']",83,0.611,0.797,-7.627,0.0533,0.00543,0.26,120.041,218107,0.518,F#/Gb,67,82,0,6,0.00137,4,0,3,"['electropop', 'modern alternative rock', 'modern rock', 'pop']"
112,28,Maniac,5044929,Conan Gray,3799104,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",82,0.628,0.639,-5.46,0.0435,0.00162,0.354,108.045,185773,0.493,G#/Ab,81,81,1,8,0.0,4,0,1,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']"
2,61,ROXANNE,5124742,Arizona Zervas,621200,"['pop rap', 'rhode island rap']",82,0.621,0.601,-5.616,0.148,0.0522,0.46,116.735,163636,0.457,F#/Gb,66,78,0,6,0.0,5,1,1,"['pop rap', 'rhode island rap']"
14,5,motive (with Doja Cat),4986037,Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",80,0.789,0.742,-5.664,0.0652,0.0681,0.166,116.965,167990,0.661,A#/Bb,87,79,0,10,0.0,4,1,3,"['pop', 'post-teen pop']"
2,46,Toosie Slide,4966878,Drake,56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",78,0.834,0.454,-9.75,0.201,0.321,0.114,81.618,247059,0.837,C#/Db,95,73,0,1,6.15e-06,4,1,1,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
9,46,ily (i love you baby) (feat. Emilee),4908929,Surf Mesa,132855,['tropical house'],81,0.674,0.774,-7.567,0.0892,0.0686,0.393,112.05,176547,0.33,B,64,78,0,11,0.00188,4,0,1,['tropical house']
45,20,Daisy,5030670,Ashnikko,1248499,"['electropop', 'escape room', 'pop']",76,0.834,0.663,-6.143,0.133,0.235,0.372,121.876,146523,0.774,G#/Ab,69,71,1,8,0.0,4,1,1,"['alt z', 'electropop', 'escape room', 'pop']"
190,3,Dancing in My Room,4914093,347aidan,211500,['sad rap'],79,0.98,0.413,-11.052,0.101,0.671,0.17,119.993,180139,0.764,G#/Ab,70,75,0,8,7.95e-05,4,1,1,['sad rap']
67,13,Deep End,5622565,Fousheé,411262,"['brooklyn drill', 'nyc rap']",72,0.868,0.479,-6.687,0.445,0.703,0.102,133.928,115200,0.776,E,65,68,0,4,0.0,4,1,1,['indie r&b']
22,32,Be Kind (with Halsey),4790427,Marshmello,31552500,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",80,0.63,0.633,-7.088,0.0457,0.00776,0.0541,93.995,172762,0.452,E,83,77,1,4,0.0,4,0,1,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']"
13,44,Sunday Best,4858392,Surfaces,724903,"['bedroom soul', 'pop']",80,0.878,0.525,-6.832,0.0578,0.183,0.0714,112.022,158571,0.694,F,71,77,1,5,0.0,4,0,7,"['bedroom soul', 'pop']"
1,12,cardigan,5845457,Taylor Swift,42227614,"['pop', 'post-teen pop']",79,0.613,0.581,-8.588,0.0424,0.537,0.25,130.033,239560,0.551,C,93,79,0,0,0.000345,4,0,2,"['pop', 'post-teen pop']"
46,14,Mad at Disney,5436450,salem ilese,133998,"['alt z', 'modern indie pop', 'social media pop']",76,0.738,0.621,-7.313,0.0486,0.424,0.692,113.968,136839,0.715,C,66,72,1,0,7.39e-06,4,0,1,"['alt z', 'modern indie pop', 'social media pop']"
172,1,Plastic Hearts,5816739,Miley Cyrus,15778531,"['dance pop', 'pop', 'post-teen pop']",74,0.551,0.756,-4.948,0.0652,0.0511,0.0765,175.984,205733,0.618,D,81,70,1,2,0.0,4,0,2,"['dance pop', 'pop', 'post-teen pop']"
105,23,Are You Bored Yet? (feat. Clairo),4911995,Wallows,1963296,"['indie pop', 'modern rock', 'pop', 'rock']",81,0.682,0.683,-6.444,0.0287,0.156,0.273,120.023,178000,0.64,G#/Ab,71,79,0,8,2.32e-05,4,0,4,"['indie pop', 'modern rock', 'pop', 'rock']"
9,28,Party Girl,4878286,StaySolidRocky,150587,['melodic rap'],77,0.728,0.431,-9.966,0.0622,0.749,0.0996,130.022,147800,0.629,F#/Gb,59,71,0,6,0.0,4,0,1,['melodic rap']
53,15,Still Don't Know My Name,4926802,Labrinth,1685215,"['indie poptimism', 'pop']",80,0.316,0.63,-5.963,0.117,0.471,0.205,89.643,153294,0.313,F,78,78,1,5,0.262,1,0,12,"['indie poptimism', 'pop', 'post-teen pop']"
156,15,SLOW DANCING IN THE DARK,4732343,Joji,4759367,"['alternative r&b', 'viral pop']",82,0.515,0.479,-7.458,0.0261,0.544,0.191,88.964,209274,0.284,D#/Eb,85,85,1,3,0.00598,4,1,1,"['alternative r&b', 'viral pop']"
42,30,After Party,4784580,Don Toliver,1606884,"['rap', 'trap']",80,0.629,0.692,-8.045,0.0376,0.00981,0.603,162.948,167916,0.453,F,78,80,1,5,0.331,4,1,4,"['rap', 'trap']"
26,27,Play Date,4745568,Melanie Martinez,10925614,"['alt z', 'electropop', 'modern rock', 'pop']",80,0.68,0.729,-5.077,0.0475,0.612,0.224,123.97,179867,0.446,F,78,78,1,5,0.0,4,1,14,"['alt z', 'dance pop', 'electropop', 'pop']"
15,21,TKN (feat. Travis Scott),4752289,ROSALÍA,4769627,['r&b en espanol'],75,0.776,0.509,-6.266,0.467,0.192,0.115,94.634,129371,0.485,C,83,72,0,0,1.49e-06,4,0,1,['r&b en espanol']
108,17,No Guidance (feat. Drake),4641393,Chris Brown,14073083,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",80,0.696,0.454,-6.756,0.153,0.123,0.155,92.928,260640,0.136,C#/Db,86,79,0,1,0.0,4,1,1,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
106,5,Lets Link,5109038,WhoHeem,25417,['viral rap'],61,0.839,0.683,-9.232,0.165,0.00667,0.241,120.003,159955,0.522,A#/Bb,48,1,0,10,0.0,4,1,1,['viral rap']
58,4,Gimme Love,7471309,Joji,4759367,"['alternative r&b', 'viral pop']",69,0.482,0.631,-6.917,0.0986,0.696,0.209,126.576,214558,0.0743,F,85,65,1,5,0.0243,3,0,1,"['alternative r&b', 'viral pop']"
